,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,H2O/CO2
484,51.10502824,-9.680128319,425.8036469,1.420914299,13.33534044,0.000717511,0.969256992,0.028775512,0.934882099,0.036342389,0.006146941,0.022628571,0.825662331,0.93842965,4.706599852,0.985452741,0.014547259,0,109.8418313,109.8418313,39.85916948,16.99389212,0,231.1679663,0.213617079,0.106760248,463.0836196,2.947978976,9.548237952,0.096817101,0.000139709,0.001168912,0.000456135,0.001679157,0.020465084,0.073120277,0.218678264,0,0,0,0,-10.48012832,242.3503973,1487.413257,2.968159765,0.028775512,0.934882099,0.036342389,0.006146941,0.022628571,0.985452741,0.014547259,0,1.262962388,0.506220024,1.311857686,1.311857686,0.805637662,271.3161801,0,25.72428843
485,50.66933234,-9.680496094,423.1112508,1.413984886,13.14161953,0.000713079,0.969475681,0.028738166,0.935105458,0.036156376,0.006171823,0.022566342,0.824949617,0.937582261,4.701615222,0.985379032,0.014620968,0,110.4174484,110.4174484,40.05259434,16.98783461,0,233.3585985,0.214760515,0.106598319,459.3489129,2.932027531,9.432651294,0.096795433,0.000138604,0.001161645,0.000460412,0.001683426,0.020464322,0.073114039,0.218686471,0,0,0,0,-10.48049609,242.2414201,1485.77782,2.945468853,0.028738166,0.935105458,0.036156376,0.006171823,0.022566342,0.985379032,0.014620968,0,1.258130981,0.501338117,1.311704772,1.311704772,0.810366655,271.1450239,0,25.86280895
486,50.23363645,-9.680863868,420.4114918,1.407029937,12.94983932,0.000708634,0.969695152,0.028701022,0.935327382,0.035971596,0.006197157,0.022503865,0.824240888,0.936737899,4.696649651,0.985305052,0.014694948,0,111.0027125,111.0027125,40.24943814,16.98168734,0,235.5883461,0.215921129,0.106436606,455.6102553,2.916118803,9.317639097,0.096773397,0.000137501,0.001154355,0.000464751,0.001687659,0.020463553,0.073107782,0.21869468,0,0,0,0,-10.48086387,242.132076,1484.136255,2.922732845,0.028701022,0.935327382,0.035971596,0.006197157,0.022503865,0.985305052,0.014694948,0,1.253321082,0.496395027,1.311543405,1.311543405,0.815148378,270.9735847,0,26.00183169
487,49.79794055,-9.681231643,417.7042142,1.400049187,12.75997833,0.000704175,0.969915398,0.028664082,0.935547887,0.035788032,0.006222952,0.02244113,0.823536195,0.935896595,4.691703345,0.985230799,0.014769201,0,111.5978853,111.5978853,40.4497926,16.97544954,0,237.8582444,0.217099281,0.106275109,451.8676585,2.900251539,9.203198676,0.096750985,0.000136398,0.001147042,0.000469153,0.001691854,0.020462779,0.073101504,0.218702891,0,0,0,0,-10.48123164,242.0223617,1482.4885,2.89995177,0.028664082,0.935547887,0.035788032,0.006222952,0.02244113,0.985230799,0.014769201,0,1.248532301,0.491389449,1.311373417,1.311373417,0.819983968,270.8018587,0,26.1413618
488,49.36224465,-9.681599417,414.9892617,1.393042366,12.57201541,0.000699702,0.970136401,0.028627345,0.935766986,0.035605669,0.006249216,0.022378129,0.82283559,0.935058381,4.686776514,0.985156269,0.014843731,0,112.2032375,112.2032375,40.65375245,16.96912014,0,240.1693653,0.218295346,0.106113827,448.1211268,2.884424543,9.089327322,0.09672819,0.000135295,0.001139706,0.000473621,0.001696011,0.020462,0.073095206,0.218711105,0,0,0,0,-10.48159942,241.9122737,1480.834491,2.877125611,0.028627345,0.935766986,0.035605669,0.006249216,0.022378129,0.985156269,0.014843731,0,1.243764249,0.486320037,1.311194638,1.311194638,0.824874601,270.629842,0,26.28140458
489,48.92654875,-9.681967192,412.2664708,1.386009198,12.38592969,0.000695215,0.970358178,0.028590815,0.935984694,0.035424492,0.006275962,0.022314853,0.822139124,0.934223294,4.681869453,0.985081458,0.014918542,0,112.8190506,112.8190506,40.86141646,16.96269875,0,242.5228192,0.219509714,0.105952762,444.370683,2.868636684,8.976022479,0.096705002,0.000134193,0.001132347,0.000478154,0.001700129,0.020461215,0.073088887,0.21871932,0,0,0,0,-10.48196719,241.8018083,1479.174162,2.854254471,0.028590815,0.935984694,0.035424492,0.006275962,0.022314853,0.985081458,0.014918542,0,1.239016513,0.481185398,1.311006889,1.311006889,0.829821491,270.4575306,0,26.42196549
490,48.49085286,-9.682334967,409.5356783,1.378949396,12.20170073,0.000690714,0.97058073,0.02855449,0.936201024,0.035244485,0.006303198,0.022251293,0.821446854,0.933391366,4.676982367,0.985006364,0.014993636,0,113.4456158,113.4456158,41.07288658,16.95618457,0,244.9197564,0.220742777,0.105791911,440.6163404,2.85288666,8.863281515,0.096681415,0.000133092,0.001124963,0.000482756,0.001704207,0.020460423,0.073082546,0.218727538,0,0,0,0,-10.48233497,241.6909618,1477.507443,2.831338388,0.02855449,0.936201024,0.035244485,0.006303198,0.022251293,0.985006364,0.014993636,0,1.234288709,0.475984105,1.310809984,1.310809984,0.834825879,270.2849201,0,26.56305011
491,48.05515696,-9.682702741,406.7967186,1.37186267,12.01930803,0.000686198,0.97080405,0.028518373,0.936415992,0.035065634,0.006330935,0.022187439,0.820758834,0.932562635,4.672115474,0.984930982,0.015069018,0,114.0832343,114.0832343,41.28826843,16.94957667,0,247.3613694,0.221994946,0.105631276,436.8581087,2.837173199,8.751101801,0.096657419,0.000131991,0.001117554,0.000487428,0.001708243,0.020459626,0.073076185,0.218735758,0,0,0,0,-10.48270274,241.5797304,1475.834266,2.808377383,0.028518373,0.936415992,0.035065634,0.006330935,0.022187439,0.984930982,0.015069018,0,1.229580451,0.470714689,1.310603734,1.310603734,0.839889045,270.1120064,0,26.70466416
492,47.61946106,-9.683070516,404.0494236,1.364748719,11.83873172,0.000681666,0.971028133,0.028482465,0.93662961,0.034887925,0.006359184,0.022123281,0.820075124,0.931737137,4.667268997,0.98485531,0.01514469,0,114.7322184,114.7322184,41.5076715,16.94287413,0,249.8488942,0.223266641,0.105470856,433.0959993,2.821495026,8.639480732,0.096633006,0.000130891,0.001110121,0.000492171,0.001712237,0.020458824,0.073069801,0.218743979,0,0,0,0,-10.48307052,241.4681102,1474.154559,2.785371483,0.028482465,0.93662961,0.034887925,0.006359184,0.022123281,0.98485531,0.01514469,0,1.224891351,0.465375633,1.310387942,1.310387942,0.845012309,269.938785,0,26.84681354
493,47.18376516,-9.683438291,401.2936221,1.357607236,11.65995211,0.00067712,0.97125298,0.028446765,0.936841893,0.034711341,0.006387957,0.022058808,0.819395781,0.930914911,4.662443158,0.984779343,0.015220657,0,115.3928922,115.3928922,41.73120942,16.93607604,0,252.3836129,0.224558297,0.105310651,429.3300245,2.805850828,8.528415725,0.096608166,0.00012979,0.001102661,0.000496987,0.001716188,0.020458015,0.073063396,0.218752203,0,0,0,0,-10.48343829,241.3560971,1472.468248,2.762320722,0.028446765,0.936841893,0.034711341,0.006387957,0.022058808,0.984779343,0.015220657,0,1.220221025,0.459965375,1.310162405,1.310162405,0.850197031,269.7652513,0,26.98950427
