,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,dFMQ
932,126.0130907,-6.546588954,1529.854064,0.642321558,671.1359483,0.002515704,0.980777341,0.190202597,0.077883035,0.73174451,0.190044639,0.000157958,1.121589538,1.233100462,13.3234243,0.99270106,0.00729894,0,86.98594062,86.98594062,75.51705425,1.572125165,0,75.54670998,0.99916953,0.999599109,96.2562533,295.3042843,0.223249281,0.055998278,0.00473438,1.90E-06,0.003030286,2.52E-06,0.028337811,0.049898384,0.362208447,5.662128713,0,0,0,-8.802009873,1055.097253,4133.78011,0.11759705,0.190202597,0.077883035,0.73174451,0.190044639,0.000157958,0.99270106,0.00729894,0,3.847184644,1.86336591,-0.375649052,-0.375649052,-2.239014961,4135.437969,0,2.255420919
933,125.5448769,-6.545715676,1528.025224,0.642225351,668.0077077,0.002512726,0.980762938,0.190341467,0.078142853,0.731343938,0.190183919,0.000157549,1.120225435,1.231721106,13.33433133,0.992693264,0.007306736,0,87.16080601,87.16080601,75.66130716,1.578663725,0,75.69090173,0.999172285,0.999600679,96.21710862,294.0933272,0.221574064,0.055998278,0.004728691,1.89E-06,0.003036014,2.52E-06,0.028348594,0.049886987,0.36234912,5.662128713,0,0,0,-8.802371771,1055.341187,4133.721459,0.117431103,0.190341467,0.078142853,0.731343938,0.190183919,0.000157549,0.992693264,0.007306736,0,3.8422733,1.865011,-0.374005494,-0.374005494,-2.239016494,4135.3728,0,2.256656094
934,125.0766631,-6.544837082,1526.189023,0.642128379,664.8825496,0.002509735,0.980749174,0.190480753,0.078404457,0.730941152,0.190323615,0.000157138,1.118863438,1.230343571,13.34528065,0.992685449,0.007314551,0,87.3367824,87.3367824,75.80642676,1.585248367,0,75.83595979,0.999175047,0.999602253,96.17783357,292.8838126,0.2199044,0.055998278,0.004722978,1.88E-06,0.003041765,2.51E-06,0.028359422,0.049875543,0.362490375,5.662128713,0,0,0,-8.802733669,1055.585815,4133.662342,0.117264493,0.190480753,0.078404457,0.730941152,0.190323615,0.000157138,0.992685449,0.007314551,0,3.837349127,1.866662711,-0.372355315,-0.372355315,-2.239018026,4135.30715,0,2.257896586
935,124.6084492,-6.543953129,1524.345405,0.642030634,661.7604772,0.002506732,0.980736048,0.190620454,0.078667867,0.730536131,0.190463729,0.000156725,1.117503547,1.228967855,13.35627247,0.992677614,0.007322386,0,87.51388105,87.51388105,75.95242128,1.591879557,0,75.98189242,0.999177816,0.999603829,96.13842585,291.6757332,0.218240293,0.055998278,0.004717243,1.87E-06,0.00304754,2.51E-06,0.028370295,0.049864052,0.362632215,5.662128713,0,0,0,-8.803095567,1055.831144,4133.602754,0.117097216,0.190620454,0.078667867,0.730536131,0.190463729,0.000156725,0.992677614,0.007322386,0,3.832412074,1.868321094,-0.370698463,-0.370698463,-2.239019558,4135.241015,0,2.259142438
936,124.1402354,-6.543063774,1522.494308,0.641932107,658.6414938,0.002503717,0.980723563,0.190760572,0.078933101,0.730128857,0.190604261,0.000156311,1.116145761,1.227593957,13.367307,0.992669759,0.007330241,0,87.69211334,87.69211334,76.09929907,1.598557774,0,76.12870794,0.999180593,0.99960541,96.09888339,290.469082,0.216581747,0.055998278,0.004711485,1.86E-06,0.003053338,2.50E-06,0.028381213,0.049852515,0.362774645,5.662128713,0,0,0,-8.803457465,1056.077177,4133.542689,0.116929267,0.190760572,0.078933101,0.730128857,0.190604261,0.000156311,0.992669759,0.007330241,0,3.827462091,1.869986204,-0.369034886,-0.369034886,-2.239021089,4135.174389,0,2.26039369
937,123.6720216,-6.542168974,1520.635675,0.641832788,655.5256029,0.00250069,0.980711718,0.190901106,0.079200178,0.729719311,0.190745212,0.000155894,1.114790082,1.226221876,13.37838447,0.992661884,0.007338116,0,87.87149085,87.87149085,76.24706858,1.605283495,0,76.27641483,0.999183377,0.999606993,96.05920367,289.2638515,0.214928766,0.055998278,0.004705704,1.85E-06,0.00305916,2.50E-06,0.028392177,0.04984093,0.362917671,5.662128713,0,0,0,-8.803819363,1056.323922,4133.482142,0.11676064,0.190901106,0.079200178,0.729719311,0.190745212,0.000155894,0.992661884,0.007338116,0,3.822499126,1.871658093,-0.367364528,-0.367364528,-2.239022621,4135.107267,0,2.261650389
938,123.2038078,-6.541268685,1518.769443,0.641732669,652.4128076,0.00249765,0.980700512,0.191042057,0.079469116,0.729307472,0.190886581,0.000155476,1.113436511,1.224851613,13.38950509,0.992653988,0.007346012,0,88.05202528,88.05202528,76.39573839,1.612057208,0,76.42502166,0.999186169,0.99960858,96.01938432,288.0600345,0.213281354,0.055998278,0.004699898,1.84E-06,0.003065006,2.50E-06,0.028403187,0.049829298,0.363061296,5.662128713,0,0,0,-8.804181261,1056.571384,4133.421106,0.116591331,0.191042057,0.079469116,0.729307472,0.190886581,0.000155476,0.992653988,0.007346012,0,3.817523129,1.873336817,-0.365687335,-0.365687335,-2.239024152,4135.039642,0,2.262912575
939,122.7355939,-6.540362863,1516.895553,0.641631741,649.3031115,0.002494598,0.980689948,0.191183426,0.079739936,0.72889332,0.19102837,0.000155056,1.112085047,1.223483165,13.40066908,0.992646073,0.007353927,0,88.23372854,88.23372854,76.5453172,1.61887941,0,76.57453711,0.999188968,0.999610171,95.97942313,286.8576238,0.211639518,0.055998278,0.00469407,1.83E-06,0.003070876,2.49E-06,0.028414244,0.049817617,0.363205526,5.662128713,0,0,0,-8.804543159,1056.819568,4133.359577,0.116421333,0.191183426,0.079739936,0.72889332,0.19102837,0.000155056,0.992646073,0.007353927,0,3.812534047,1.875022429,-0.364003253,-0.364003253,-2.239025682,4134.97151,0,2.264180296
940,122.2673801,-6.539451463,1515.013942,0.641529993,646.196518,0.002491533,0.980680023,0.191325213,0.080012656,0.728476837,0.191170579,0.000154634,1.110735691,1.222116534,13.41187666,0.992638136,0.007361864,0,88.4166127,88.4166127,76.69581381,1.625750597,0,76.72497,0.999191775,0.999611764,95.93931746,285.6566121,0.21000326,0.055998278,0.004688217,1.82E-06,0.003076769,2.49E-06,0.028425348,0.049805888,0.363350365,5.662128713,0,0,0,-8.804905057,1057.068481,4133.297548,0.116250641,0.191325213,0.080012656,0.728476837,0.191170579,0.000154634,0.992638136,0.007361864,0,3.807531828,1.876714986,-0.362312226,-0.362312226,-2.239027212,4134.902865,0,2.265453594
941,121.7991663,-6.53853444,1513.124548,0.641427416,643.0930306,0.002488455,0.980670738,0.191467418,0.080287298,0.728058,0.191313208,0.00015421,1.109388445,1.220751717,13.42312806,0.992630178,0.007369822,0,88.60069,88.60069,76.84723716,1.632671277,0,76.87632925,0.999194589,0.999613362,95.89906485,284.4569919,0.208372586,0.055998278,0.00468234,1.81E-06,0.003082688,2.48E-06,0.028436499,0.049794109,0.36349582,5.662128713,0,0,0,-8.805266955,1057.318128,4133.235014,0.116079249,0.191467418,0.080287298,0.728058,0.191313208,0.00015421,0.992630178,0.007369822,0,3.802516419,1.878414544,-0.360614197,-0.360614197,-2.239028741,4134.8337,0,2.266732515
