,number,T_C,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
33,40,1151.484,MI,LL4_39c,Fissure 8 (May 30th),2.77,13.47,0.3,10.36,0.36,2.05,51.64,6.84,11.57,0.18,0.5,185.0,1058.769197,0.79,40.26,38.28,19.49,0.04,0.27,0.25,0.18
34,38,1281.531,MI,LL4_8,Fissure 8 (May 30th),2.18,11.17,0.17,9.45,0.29,1.85,49.73,13.31,11.33,0.15,0.5,672.0,611.8077243,0.89,47.63,40.41,11.01,0.05,0.23,0.15,0.38
35,37,1188.4679999999998,MI,LL4_9,Fissure 8 (May 30th),2.46,13.06,0.29,10.09,0.35,2.2,50.86,8.68,11.34,0.22,0.5,588.0,815.8713796,0.83,43.69,39.49,16.05,0.05,0.24,0.2,0.29
36,30,1198.92,MI,LL4_B,Fissure 8 (May 30th),2.46,12.86,0.26,10.31,0.44,2.04,50.54,9.2,11.33,0.11,0.5,383.0,0.0,0.84,44.37,39.65,15.12,0.04,0.25,0.21,0.31
37,79,1277.109,MI,LL7_105a,Fissure 8 (Aug 1st),2.13,11.48,0.34,9.56,0.42,2.08,49.05,13.09,11.34,0.16,0.5,29.0,0.0,0.88,47.36,40.84,11.03,0.05,0.23,0.16,0.39
38,80,1280.3249999999998,MI,LL7_105b,Fissure 8 (Aug 1st),2.05,11.11,0.21,9.48,0.35,1.99,49.67,13.25,11.34,0.2,0.5,24.0,0.0,0.88,47.36,40.84,11.03,0.05,0.23,0.16,0.39
39,92,1183.4429999999998,MI,LL7_106b,Fissure 8 (Aug 1st),2.63,12.91,0.28,10.19,0.39,2.47,50.84,8.43,11.34,0.13,0.5,126.0,0.0,0.83,43.26,39.56,16.14,0.03,0.24,0.23,0.32
40,81,1258.6169999999997,MI,LL7_107,Fissure 8 (Aug 1st),2.07,11.62,0.2,9.94,0.41,2.16,49.61,12.17,11.34,0.15,0.5,121.0,0.0,0.88,46.72,40.33,11.81,0.06,0.23,0.16,0.39
41,46,1213.1909999999998,MI,LL7_108,Fissure 8 (Aug 1st),2.35,12.84,0.24,10.46,0.48,2.28,49.59,9.91,11.34,0.14,0.5,242.0,881.7036237,0.85,44.82,39.15,13.92,0.05,0.24,0.17,0.32
42,77,1270.275,MI,LL7_110a,Fissure 8 (Aug 1st),2.04,11.31,0.17,9.66,0.32,1.97,49.89,12.75,11.33,0.21,0.5,30.0,0.0,0.88,47.22,41.0,11.48,0.04,0.24,0.16,0.42
43,78,1269.471,MI,LL7_110b,Fissure 8 (Aug 1st),2.03,11.41,0.16,9.75,0.35,1.98,49.72,12.71,11.34,0.2,0.5,41.0,0.0,0.88,47.22,41.0,11.48,0.04,0.24,0.16,0.42
44,45,1276.908,MI,LL7_111_A,Fissure 8 (Aug 1st),2.2,11.29,0.22,9.44,0.36,1.97,49.56,13.08,11.33,0.2,0.5,628.0,535.5720651,0.88,47.49,40.33,11.14,0.05,0.23,0.14,0.39
45,52,1278.315,MI,LL7_111_B,Fissure 8 (Aug 1st),2.17,11.52,0.22,9.44,0.31,1.92,49.45,13.15,11.34,0.14,0.5,792.0,565.0824131,0.88,47.06,40.04,10.99,0.06,0.23,0.15,0.39
46,44,1267.8629999999998,MI,LL7_114,Fissure 8 (Aug 1st),2.16,11.37,0.3,9.98,0.38,2.12,49.22,12.63,11.34,0.16,0.5,528.0,530.8783124,0.88,47.4,40.41,11.42,0.05,0.23,0.14,0.37
47,42,1266.6569999999997,MI,LL7_115_A,Fissure 8 (Aug 1st),2.12,11.69,0.14,10.0,0.32,2.01,49.28,12.57,11.34,0.18,0.5,266.0,676.7966132,0.88,47.0,39.92,11.41,0.05,0.23,0.15,0.38
48,43,1257.612,MI,LL7_115_B,Fissure 8 (Aug 1st),2.25,11.53,0.27,9.77,0.35,2.07,49.76,12.12,11.33,0.2,0.5,375.0,612.7766319,0.88,46.72,40.0,11.86,0.05,0.23,0.16,0.37
49,55,1245.15,MI,LL7_116,Fissure 8 (Aug 1st),2.17,11.7,0.27,10.15,0.48,2.46,49.43,11.5,11.33,0.19,0.5,615.0,538.3012424,0.87,46.32,39.88,12.29,0.05,0.22,0.15,0.38
50,103,1232.487,MI,LL7_118,Fissure 8 (Aug 1st),2.29,12.36,0.21,9.96,0.39,2.05,50.0,10.87,11.34,0.19,0.5,43.0,693.9014504,0.86,45.89,39.87,13.1,0.06,0.23,0.17,0.34
51,47,1271.2799999999997,MI,LL7_203,Fissure 8 (Aug 1st),2.26,11.52,0.33,9.7,0.39,1.96,49.19,12.8,11.33,0.16,0.5,533.0,622.3912029,0.88,47.23,40.12,11.22,0.06,0.23,0.15,0.4
52,91,1194.9,MI,LL7_204,Fissure 8 (Aug 1st),2.1,12.64,0.26,11.01,0.46,2.37,50.17,9.0,11.33,0.26,0.5,96.0,0.0,0.84,43.43,39.6,15.17,0.05,0.24,0.21,0.32
53,102,1242.7379999999998,MI,LL7_205b,Fissure 8 (Aug 1st),2.28,11.84,0.19,10.0,0.39,2.06,50.01,11.38,11.34,0.17,0.5,28.0,808.9722368,0.87,46.19,39.97,12.53,0.05,0.24,0.15,0.35
54,48,1259.8229999999999,MI,LL7_248,Fissure 8 (Aug 1st),2.19,11.76,0.22,9.83,0.4,2.14,49.36,12.23,11.33,0.19,0.5,401.0,590.9198518,0.88,46.76,39.88,11.68,0.05,0.23,0.15,0.36
55,90,1205.5529999999999,MI,LL7_270,Fissure 8 (Aug 1st),2.32,12.83,0.21,10.11,0.44,2.16,50.56,9.53,11.34,0.16,0.5,33.0,0.0,0.84,44.06,39.58,14.56,0.05,0.22,0.17,0.35
56,71,1150.8809999999999,MI,LL7_272,Fissure 8 (Aug 1st),2.45,13.23,0.29,10.03,0.51,2.92,51.73,6.81,11.51,0.15,0.5,123.0,0.0,0.79,40.87,39.59,19.85,0.03,0.25,0.28,0.17
57,56,1280.9279999999999,MI,LL7_282,Fissure 8 (Aug 1st),2.06,11.36,0.21,9.63,0.3,1.96,49.37,13.28,11.33,0.15,0.5,646.0,614.2125021,0.89,47.65,40.51,11.0,0.05,0.23,0.14,0.39
58,49,1220.8289999999997,MI,LL7_287,Fissure 8 (Aug 1st),2.33,11.95,0.24,10.3,0.48,2.53,50.03,10.29,11.33,0.17,0.5,186.0,861.5651646,0.86,45.72,40.3,13.67,0.05,0.23,0.16,0.34
59,51,1238.5169999999998,MI,LL7_290_B,Fissure 8 (Aug 1st),2.18,12.24,0.22,10.38,0.41,2.22,49.32,11.17,11.34,0.17,0.5,352.0,289.071394,0.87,46.25,40.04,12.67,0.04,0.24,0.16,0.33
60,50,1247.763,MI,LL7_290_C,Fissure 8 (Aug 1st),2.07,11.9,0.26,10.21,0.35,2.14,49.6,11.63,11.33,0.16,0.5,216.0,347.1644547,0.87,46.97,40.56,12.48,0.04,0.24,0.16,0.33
61,100,1264.245,MI,LL8_155_c,Fissure 8 (Mid July),2.29,11.51,0.21,9.95,0.27,2.0,49.47,12.45,11.34,0.17,0.5,52.0,686.1614586,0.88,46.56,39.86,11.4,0.04,0.24,0.15,0.38
62,18,1284.9479999999999,MI,LL8_156,Fissure 8 (Mid July),2.18,11.18,0.2,9.26,0.28,1.8,49.76,13.48,11.34,0.16,0.5,569.0,499.411842,0.89,47.5,40.43,10.88,0.05,0.22,0.13,0.38
63,97,1274.8980000000001,MI,LL8_202_a,Fissure 8 (Mid July),2.17,11.12,0.23,9.76,0.32,2.05,49.5,12.98,11.34,0.17,0.5,35.0,699.8220785,0.88,47.56,40.44,11.19,0.05,0.24,0.15,0.38
64,98,1269.672,MI,LL8_202_b,Fissure 8 (Mid July),2.11,11.22,0.21,10.0,0.32,1.93,49.63,12.72,11.34,0.16,0.5,15.0,542.6435715,0.88,47.32,40.55,11.41,0.05,0.24,0.15,0.37
