number,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
67,MI,LL8_249a,Fissure 8 (Mid July),2.2,12.89,0.25,11.23,0.4,2.42,51.01,7.67,11.33,0.21,0.21,10,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
68,MI,LL8_249b,Fissure 8 (Mid July),2.18,12.88,0.24,11.08,0.41,2.38,51.17,7.73,11.37,0.19,0.21,181,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
69,MI,LL8_249c,Fissure 8 (Mid July),2.3,13.03,0.22,10.54,0.5,2.54,51.45,7.68,11.34,0.15,0.09,315,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
70,MI,LL8_249d,Fissure 8 (Mid July),2.25,13.07,0.25,10.82,0.43,2.52,51.23,7.68,11.34,0.16,0.09,235,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
71,MI,LL7_272,Fissure 8 (Aug 1st),2.45,13.23,0.29,10.03,0.51,2.92,51.73,6.81,11.51,0.15,0.22,123,0.79,40.87,39.59,19.85,0.03,0.25,0.28,0.17
72,MI,LL4_19b,Fissure 8 (May 30th),2.3,13.52,0.38,10.59,0.43,2.55,50.79,7.43,11.34,0.18,0.31,403,0.8,41.78,39.36,18.14,0.03,0.23,0.25,0.24
73,MI,LL4_33b,Fissure 8 (May 30th),2.39,13.48,0.34,10.22,0.49,2.7,51.35,6.88,11.39,0.29,0.3,243,0.79,40.54,39.11,19.3,0.03,0.25,0.27,0.18
74,MI,LL4_30,Fissure 8 (May 30th),2.55,13.61,0.34,10.58,0.47,2.72,50.79,6.95,11.34,0.18,0.3,276,0.79,40.98,39.15,18.88,0.03,0.26,0.26,0.19
75,MI,LL4_34a,Fissure 8 (May 30th),2.58,13.22,0.29,9.69,0.5,2.87,51.31,7.61,11.36,0.11,0.29,303,0.81,42.14,39.76,17.74,0.04,0.22,0.25,0.24
76,MI,LL4_34b,Fissure 8 (May 30th),2.56,13.22,0.35,9.77,0.52,2.9,51.21,7.3,11.44,0.25,0.3,295,0.8,41.5,39.48,18.44,0.04,0.23,0.27,0.2
77,MI,LL7_110a,Fissure 8 (Aug 1st),2.04,11.31,0.17,9.66,0.32,1.97,49.89,12.75,11.33,0.21,0.18,30,0.88,47.22,41,11.48,0.04,0.24,0.16,0.42
78,MI,LL7_110b,Fissure 8 (Aug 1st),2.03,11.41,0.16,9.75,0.35,1.98,49.72,12.71,11.34,0.2,0.19,41,0.88,47.22,41,11.48,0.04,0.24,0.16,0.42
79,MI,LL7_105a,Fissure 8 (Aug 1st),2.13,11.48,0.34,9.56,0.42,2.08,49.05,13.09,11.34,0.16,0.18,29,0.88,47.36,40.84,11.03,0.05,0.23,0.16,0.39
80,MI,LL7_105b,Fissure 8 (Aug 1st),2.05,11.11,0.21,9.48,0.35,1.99,49.67,13.25,11.34,0.2,0.17,24,0.88,47.36,40.84,11.03,0.05,0.23,0.16,0.39
81,MI,LL7_107,Fissure 8 (Aug 1st),2.07,11.62,0.2,9.94,0.41,2.16,49.61,12.17,11.34,0.15,0.17,121,0.88,46.72,40.33,11.81,0.06,0.23,0.16,0.39
82,MI,LL8_402a,Fissure 8 (Mid July),2.24,12.02,0.26,10.21,0.34,2.17,49.73,11.07,11.33,0.25,0.2,29,0.86,45.68,40.03,12.74,0.05,0.23,0.18,0.38
83,MI,LL8_402b,Fissure 8 (Mid July),2.33,11.75,0.2,10.32,0.38,2.13,50,11.02,11.34,0.17,0.2,36,0.86,45.68,40.03,12.74,0.05,0.23,0.18,0.38
84,MI,LL8_447,Fissure 8 (Mid July),2.05,12.17,0.42,10.17,0.31,2.66,49.21,11.16,11.34,0.16,0.19,61,0.87,46.22,40.74,12.81,0.05,0.24,0.18,0.33
85,MI,LL4_17_A,Fissure 8 (May 30th),2.78,13.21,0.43,9.12,0.7,3.37,51.02,7.37,11.34,0.2,0.29,234,0.81,41.28,39.07,17.68,0.03,0.21,0.25,0.25
86,MI,LL4_17_C1,Fissure 8 (May 30th),2.85,13.34,0.3,9.15,0.45,2.72,51.82,7.38,11.34,0.18,0.31,208,0.8,41.39,38.72,18.03,0.03,0.21,0.25,0.25
87,MI,LL4_17_C2,Fissure 8 (May 30th),2.75,13.09,0.26,9.34,0.48,2.8,51.97,7.38,11.34,0.14,0.28,202,0.8,41.39,38.72,18.03,0.03,0.21,0.25,0.25
88,MI,LL4_24a,Fissure 8 (May 30th),2.35,13.75,0.29,10.89,0.51,2.63,50.53,6.97,11.39,0.22,0.3,250,0.79,40.52,38.7,18.71,0.04,0.27,0.25,0.21
89,MI,LL4_24b,Fissure 8 (May 30th),2.45,13.93,0.3,10.89,0.49,2.62,50.22,6.96,11.43,0.24,0.3,322,0.79,40.52,38.7,18.71,0.04,0.27,0.25,0.21
90,MI,LL7_270,Fissure 8 (Aug 1st),2.32,12.83,0.21,10.11,0.44,2.16,50.56,9.53,11.34,0.16,0.18,33,0.84,44.06,39.58,14.56,0.05,0.22,0.17,0.35
91,MI,LL7_204,Fissure 8 (Aug 1st),2.1,12.64,0.26,11.01,0.46,2.37,50.17,9,11.33,0.26,0.22,96,0.84,43.43,39.6,15.17,0.05,0.24,0.21,0.32
92,MI,LL7_106b,Fissure 8 (Aug 1st),2.63,12.91,0.28,10.19,0.39,2.47,50.84,8.43,11.34,0.13,0.21,126,0.83,43.26,39.56,16.14,0.03,0.24,0.23,0.32
93,MI,LL8_3001,Fissure 8 (Mid July),2.23,13.4,0.42,11.14,0.49,2.22,49.33,8.87,11.33,0.18,0.22,158,0.84,43.5,39.71,15.25,0.05,0.29,0.21,0.33
94,MI,LL8_435,Fissure 8 (Mid July),2.36,13.09,0.26,10.22,0.52,2.68,49.75,9.18,11.33,0.25,0.2,201,0.84,44.51,40.03,15.03,0.03,0.26,0.21,0.28
95,MI,LL8_623_c,Fissure 8 (Mid July),2.28,12.39,0.3,10.48,0.44,2.65,49.58,9.97,11.33,0.18,0.22,287,0.85,45.41,40.09,14,0.05,0.25,0.18,0.33
96,MI,LL8_634,Fissure 8 (Mid July),2.6,12.56,0.28,9.75,0.56,3.42,51.24,7.67,11.34,0.21,0.21,242,0.81,42.54,39.4,17.54,0.03,0.26,0.22,0.22
97,MI,LL8_202_a,Fissure 8 (Mid July),2.17,11.12,0.23,9.76,0.32,2.05,49.5,12.98,11.34,0.17,0.18,35,0.88,47.56,40.44,11.19,0.05,0.24,0.15,0.38
98,MI,LL8_202_b,Fissure 8 (Mid July),2.11,11.22,0.21,10,0.32,1.93,49.63,12.72,11.34,0.16,0.18,15,0.88,47.32,40.55,11.41,0.05,0.24,0.15,0.37
99,MI,LL8_400_b,Fissure 8 (Mid July),2.08,10.77,0.26,9.89,0.34,2.1,49.51,13.18,11.34,0.19,0.17,28,0.88,47.8,40.44,11.07,0.05,0.23,0.14,0.37
100,MI,LL8_155_c,Fissure 8 (Mid July),2.29,11.51,0.21,9.95,0.27,2,49.47,12.45,11.34,0.17,0.18,52,0.88,46.56,39.86,11.4,0.04,0.24,0.15,0.38
101,MI,LL4_39b,Fissure 8 (May 30th),2.72,13.57,0.26,10.5,0.38,2.15,51.58,6.8,11.41,0.16,0.29,256,0.79,40.66,38.57,19.45,0.04,0.27,0.25,0.18
102,MI,LL7_205b,Fissure 8 (Aug 1st),2.28,11.84,0.19,10,0.39,2.06,50.01,11.38,11.34,0.17,0.18,28,0.87,46.19,39.97,12.53,0.05,0.24,0.15,0.35
103,MI,LL7_118,Fissure 8 (Aug 1st),2.29,12.36,0.21,9.96,0.39,2.05,50,10.87,11.34,0.19,0.18,43,0.86,45.89,39.87,13.1,0.06,0.23,0.17,0.34
104,MG,LLE_LL4_G2,Fissure 8 (May 30th),2.51,13.04,0.27,10.25,0.52,2.88,50.62,5.85,11.83,0.18,0.1,28.3,,,,,,,,
105,MG,LLE_LL4_G1,Fissure 8 (May 30th),2.47,12.89,0.27,9.97,0.53,2.88,50.1,5.85,11.29,0.18,0.08,18.43,,,,,,,,
106,MG,LLf_LL8_g2,Fissure 8 (Mid July),2.29,13.03,0.21,10.68,0.45,2.58,50.15,6.68,11.24,0.21,0.09,0.01,,,,,,,,
107,MG,LLf_LL8_g1,Fissure 8 (Mid July),2.37,13.1,0.23,10.73,0.48,2.57,50.25,6.49,10.92,0.19,0.1,1.08,,,,,,,,
108,MG,LLf_LL7_G1,Fissure 8 (Aug 1st),2.41,13.48,0.28,10.54,0.51,2.63,50.74,6.33,11.34,0.18,0.09,4.46,,,,,,,,
110,MG,LLE_LL2_g1,Fissure 17 (May 14th),3.83,12.62,0.62,3.78,2.45,1.61,65.06,1.14,8.1,0.12,0.17,9.35,,,,,,,,
111,MG,LLE_LL2_g2,Fissure 17 (May 14th),3.9,13.28,0.49,4.27,2.28,1.53,64.29,1.01,8.5,0.12,0.18,67.67,,,,,,,,
112,MG,LLE_LL2_g3,Fissure 17 (May 14th),4.1,13.06,0.49,3.42,2.5,1.53,65.01,0.98,7.82,0.17,0.13,35.17,,,,,,,,
113,MG,LLf_LL6_G1,Fissure 5 (May 4th),3.22,12.07,0.67,7.99,1.17,4.44,51.57,3.83,14.01,0.19,0.11,0.01,,,,,,,,
114,MG,LLf_LL6_G2,Fissure 5 (May 4th),2.86,11.66,0.61,8.04,1.26,4.4,51.88,3.84,13.81,0.23,0.11,1.05,,,,,,,,
115,MG,LLf_LL1_g1a,Fissure 13 Reactivated (May 15th),3.02,12.57,0.49,7.73,1.17,3.35,53.92,3.58,12.09,0.24,0.13,2.1,,,,,,,,
116,MG,LLf_LL1_g2,Fissure 13 Reactivated (May 15th),2.88,12.48,0.45,7.6,1.25,3.56,53.86,3.42,12.4,0.18,0.13,0.01,,,,,,,,
117,MG,LLf_LL3_G2,Fissure 8 (May 7th),3.02,12.17,0.52,8.27,1,4.21,51.57,4.4,13.25,0.22,0.12,2.68,,,,,,,,
118,MG,LL12_G1a_r2,Fissure 12 (Early May),1.05,12.39,0.57,8.42,1.04,4.66,51.73,4.27,14.36,0.23,0.1,4.21,,,,,,,,
119,MG,LL12_G2b_r2,Fissure 12 (Early May),2.28,12.43,0.6,7.4,1.31,4.61,51.81,4.43,13.76,0.2,0.07,6.38,,,,,,,,
