,Unnamed: 0,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
155,155,80.62089454894317,-8.492302152764468,1163.263185276026,0.4999028179703211,332.2432943375423,0.0019883362107159,0.9846223990313778,0.0067176269171216,0.0438135546961139,0.951058209856901,0.0048945587992781,0.0018230681178434,1.0123978082174991,1.119488833833717,0.5006919048562649,0.9999273999551632,7.260004483682417e-05,0.0,4.304193875619095,4.304193875619095,3.378512683532799,0.4754112798965832,0.0,175.64320090810588,0.7286142650767234,0.0165732604709918,34.77969858015165,4.4175444581359455,1.487995798845449,0.1613723085469904,6.0120580399193537e-05,0.0035674444665885,8.25988278315728e-07,3.076544705381544e-07,0.0257208071806438,0.1328275106788022,0.1622269320034379,11.391572376959372,0.0,0.0,0.0,-8.678032772340048,1577.6486031272027,5804.050636321437,0.4837113010018374,0.0067176269171216,0.0438135546961139,0.951058209856901,0.0048945587992781,0.0018230681178434,0.9999273999551632,7.260004483682417e-05,0.0,141.5765152769771,0.9994413821107192,3.3286940241730285,3.3286940241730285,2.3292526420623094,1604.2360246201815,0.0
156,156,80.52549064544917,-8.492388502318452,1163.261143166052,0.4999020531450631,331.80448052123603,0.0019883338916052,0.9846298672807348,0.0067230134934472,0.0438642422378535,0.9510032831878714,0.0048980952016799,0.0018249182917672,1.012159251143805,1.1192408389842252,0.5011075400242064,0.9999269476941752,7.305230582493073e-05,0.0,4.307774426002321,4.307774426002321,3.3812256987597684,0.4760412059054612,0.0,175.83822074131257,0.728556503189239,0.0165667677064182,34.77899404622113,4.414526722233402,1.4873927246668863,0.1613723085469904,6.0096894791494726e-05,0.0035674601432788,8.317577591542913e-07,3.098939253935662e-07,0.0257208981342222,0.1328273480147987,0.1622275790427031,11.39157237695937,0.0,0.0,0.0,-8.678105845691608,1577.6769492948467,5804.050307635466,0.4837495913370587,0.0067230134934472,0.0438642422378535,0.9510032831878714,0.0048980952016799,0.0018249182917672,0.9999269476941752,7.305230582493073e-05,0.0,141.45491216324265,0.9994373201382856,3.328582119669663,3.328582119669663,2.329144799531377,1604.254256911126,0.0
157,157,80.43008674195517,-8.492474861974154,1163.2590966543544,0.4999012860096585,331.3657344197296,0.0019883315650505,0.9846373580998636,0.0067284137657959,0.0439150496937349,0.9509482258815416,0.0049016408729826,0.0018267728928132,1.011920793245651,1.118992920311432,0.5015242527196044,0.9999264954726362,7.350452736379245e-05,0.0,4.3113642681694335,4.3113642681694335,3.383945621106936,0.4766726222259342,0.0,176.03370299510706,0.7284987284670658,0.0165602766958747,34.77829003017621,4.411510981701671,1.4867899460297205,0.1613723085469904,6.007321542577681e-05,0.0035674758001496,8.375361913663062e-07,3.1213800659513864e-07,0.02572098900133,0.1328271854435209,0.1622282255307629,11.391572376959372,0.0,0.0,0.0,-8.678178919043168,1577.7052963318406,5804.049977956713,0.483787897335377,0.0067284137657959,0.0439150496937349,0.9509482258815416,0.0049016408729826,0.0018267728928132,0.9999264954726362,7.350452736379245e-05,0.0,141.3331966466909,0.9994332497437806,3.3284701647554185,3.3284701647554185,2.329036915011638,1604.272492706643,0.0
158,158,80.33468283846115,-8.492561231746933,1163.2570457230847,0.4999005165555983,330.9270560232305,0.0019883292310224,0.9846448790795548,0.0067338277892683,0.0439659774896524,0.9508930374673052,0.0049051958405254,0.0018286319487428,1.0116824345907198,1.1187450778374004,0.5019420473445935,0.9999260432904272,7.395670957276701e-05,0.0,4.314963440116027,4.314963440116027,3.3866724783887148,0.4773055377749884,0.0,176.22964931299342,0.7284409393930207,0.0165537874381619,34.777586798999415,4.40849723057756,1.4861874726809032,0.1613723085469904,6.004954229698296e-05,0.0035674914371497,8.433236113794744e-07,3.143867337889076e-07,0.025721079781814,0.1328270229651031,0.16222887146667,11.391572376959372,0.0,0.0,0.0,-8.678251992394728,1577.7336442395265,5804.049647281497,0.4838262227232834,0.0067338277892683,0.0439659774896524,0.9508930374673052,0.0049051958405254,0.0018286319487428,0.9999260432904272,7.395670957276701e-05,0.0,141.21136851505617,0.9994291708932426,3.328358158099566,3.328358158099566,2.3289289872063232,1604.2907320061695,0.0
159,159,80.23927893496715,-8.492647611652634,1163.2549903552192,0.4998997447743418,330.48844532755135,0.0019883268894927,0.9846524208944336,0.0067392556031603,0.0440170260535207,0.9508377174884334,0.0049087601429881,0.0018304954601722,1.0114441752470096,1.1184973115843346,0.5023609271192575,0.9999255911474346,7.440885256532801e-05,0.0,4.3185719696800815,4.3185719696800815,3.389406290473705,0.4779399533027547,0.0,176.42606134636526,0.7283831378477755,0.0165472999320454,34.77688402217802,4.405485472964086,1.4855852922211576,0.1613723085469904,6.002587539997397e-05,0.0035675070542309,8.491200576342038e-07,3.1664012201957205e-07,0.0257211704755164,0.1328268605796849,0.1622295168494469,11.391572376959376,0.0,0.0,0.0,-8.67832506574629,1577.7619930192366,5804.049315606159,0.4838645629158303,0.0067392556031603,0.0440170260535207,0.9508377174884334,0.0049087601429881,0.0018304954601722,0.9999255911474346,7.440885256532801e-05,0.0,141.08942789505474,0.9994250835536456,3.328246101338486,3.328246101338486,2.3288210177848403,1604.3089748090747,0.0
160,160,80.14387503147313,-8.492734001706776,1163.2529305327257,0.499898970657295,330.049902322857,0.0019883245404313,0.9846599912934176,0.0067446972631882,0.0440681958152837,0.9507822654697528,0.0049123338079073,0.0018323634552809,1.011206015282838,1.1182496215745787,0.50278089649538,0.999925139043538,7.486095646197001e-05,0.0,4.322189895285534,4.322189895285534,3.392147085487073,0.4785758778588621,0.0,176.6229407543888,0.7283253222821828,0.0165408141763178,34.77618197225864,4.402475702809221,1.484983414598937,0.1613723085469904,6.000221472965648e-05,0.0035675226513415,8.5492556689737e-07,3.1889819117064493e-07,0.0257212610822826,0.1328266982874021,0.1622301616781368,11.391572376959372,0.0,0.0,0.0,-8.67839813909785,1577.7903426723306,5804.048982926989,0.4839029217175044,0.0067446972631882,0.0440681958152837,0.9507822654697528,0.0049123338079073,0.0018323634552809,0.999925139043538,7.486095646197001e-05,0.0,140.96737457128137,0.9994209876906216,3.328133993369176,3.328133993369176,2.328713005678554,1604.3272211147987,0.0
161,161,80.04847112797913,-8.492820401925144,1163.2508662379255,0.4998981941958263,329.6114270020232,0.0019883221838092,0.9846675898331162,0.0067501528175302,0.0441194872069294,0.950726680941652,0.00491591686839,0.0018342359491401,1.010967954766832,1.1180020078306183,0.5032019593618844,0.9999246869786194,7.531302138062782e-05,0.0,4.3258172505220935,4.3258172505220935,3.394894887766016,0.4792133165507846,0.0,176.82028920416948,0.7282674927926563,0.0165343301697522,34.77548063242512,4.399467918933714,1.484381839036785,0.1613723085469904,5.997856028088699e-05,0.0035675382284313,8.607401770061601e-07,3.211609589425507e-07,0.0257213516019552,0.1328265360883931,0.1622308059517658,11.391572376959372,0.0,0.0,0.0,-8.67847121244941,1577.8186932001934,5804.048649240301,0.4839412989076316,0.0067501528175302,0.0441194872069294,0.950726680941652,0.00491591686839,0.0018342359491401,0.9999246869786194,7.531302138062782e-05,0.0,140.8452084925554,0.9994168832703596,3.3280218337454026,3.3280218337454026,2.328604950475043,1604.3454709227772,0.0
162,162,79.95306722448511,-8.492906812323803,1163.24879745346,0.4998974153812648,329.173019360346,0.0019883198195975,0.9846752087867598,0.0067556223076498,0.0441709006625013,0.9506709634392516,0.0049195093625329,0.0018361129451169,1.010729993767946,1.1177544703750812,0.5036241191064723,0.999924234952563,7.57650474370004e-05,0.0,4.329454064670033,4.329454064670033,3.397649718270211,0.4798522709606243,0.0,177.01810837080276,0.7282096509395134,0.0165278479111032,34.77477972863849,4.3964621244774245,1.4837805552419283,0.1613723085469904,5.9954912048472135e-05,0.0035675537854507,8.665639267993156e-07,3.2342844103225844e-07,0.0257214420343744,0.1328263739827995,0.1622314496693432,11.391572376959372,0.0,0.0,0.0,-8.67854428580097,1577.8470446041415,5804.0483145423605,0.4839796906856963,0.0067556223076498,0.0441709006625013,0.9506709634392516,0.0049195093625329,0.0018361129451169,0.999924234952563,7.57650474370004e-05,0.0,140.72292975330166,0.9994127702591648,3.3279096241508226,3.3279096241508226,2.3284968538916577,1604.3637242323452,0.0
163,163,79.85766332099111,-8.492993232918392,1163.2467241608076,0.4998966342048855,328.7346793866873,0.0019883174477656,0.9846828598652172,0.0067611057937623,0.0442224366181083,0.950615112476854,0.0049231113156992,0.0018379944780631,1.0104921323554512,1.117507009230738,0.5040473805233184,0.9999237829652452,7.621703475474377e-05,0.0,4.333100379099981,4.333100379099981,3.400411607389609,0.4804927521606411,0.0,177.21639993727612,0.7281517943767688,0.016521367399159,34.77407967332343,4.3934583110513135,1.4831795783257076,0.1613723085469904,5.9931270027282136e-05,0.0035675693223469,8.723968531353627e-07,3.257006587742995e-07,0.0257215323793842,0.1328262119707579,0.1622320928299045,11.391572376959374,0.0,0.0,0.0,-8.67861735915253,1577.8753968855776,5804.04797882941,0.4840181028042725,0.0067611057937623,0.0442224366181083,0.950615112476854,0.0049231113156992,0.0018379944780631,0.9999237829652452,7.621703475474377e-05,0.0,140.6005380590068,0.9994086486219592,3.3277973625250423,3.3277973625250423,2.328388713903083,1604.3819810429793,0.0
164,164,79.76225941749709,-8.493079663725265,1163.244646342668,0.4998958506579329,328.2964070777248,0.0019883150682848,0.98469053118427,0.006766603313811,0.0442740955119416,0.95055912758906,0.0049267227690584,0.0018398805447525,1.0102543705989424,1.117259624420498,0.5044717467399962,0.999923331016551,7.666898344907456e-05,0.0,4.336756220860484,4.336756220860484,3.40318057431676,0.4811347597498911,0.0,177.41516559475068,0.7280939255006602,0.0165148886326554,34.77338004561763,4.390456484251434,1.482578892568015,0.1613723085469904,5.990763421206147e-05,0.0035675848390707,8.782389956999733e-07,3.2797762682722145e-07,0.0257216226368218,0.1328260500524124,0.1622327354324411,11.391572376959374,0.0,0.0,0.0,-8.67869043250409,1577.9037500458844,5804.047642097696,0.4840565294190011,0.006766603313811,0.0442740955119416,0.95055912758906,0.0049267227690584,0.0018398805447525,0.999923331016551,7.666898344907456e-05,0.0,140.47803358723678,0.9994045183251172,3.3276850507741527,3.3276850507741527,2.3282805324490354,1604.4002413540522,0.0
165,165,79.66685551400309,-8.493166104760338,1163.242563980594,0.4998950647315968,327.8582024238441,0.0019883126811246,0.9846982298730288,0.0067721149241216,0.0443258777842822,0.9505030082900052,0.0049303437513259,0.0018417711727956,1.010016708568339,1.11701231596742,0.504897222262948,0.999922879106357,7.712089364301668e-05,0.0,4.340421628849823,4.340421628849823,3.405956647486144,0.4817783026246575,0.0,177.61440704237378,0.7280360428858866,0.0165084116103635,34.7726810961169,4.387456638410463,1.4819785070888267,0.1613723085469904,5.988400459762415e-05,0.0035676003355693,8.840903922332225e-07,3.3025936540892217e-07,0.0257217128065285,0.1328258882279024,0.1622333774759714,11.391572376959374,0.0,0.0,0.0,-8.67876350585565,1577.932104086435,5804.047304343419,0.4840949740307927,0.0067721149241216,0.0443258777842822,0.9505030082900052,0.0049303437513259,0.0018417711727956,0.999922879106357,7.712089364301668e-05,0.0,140.35541613512885,0.9994003793334124,3.327572688081921,3.327572688081921,2.328172308748509,1604.418505164983,0.0
166,166,79.57145161050909,-8.493252556039822,1163.2404770564629,0.499894276417027,327.42006541790187,0.0019883102862549,0.9847059556168444,0.0067776406741489,0.0443777838775169,0.9504467540986544,0.0049339742963098,0.0018436663778391,1.0097791463338812,1.1167650838947012,0.5053238110857677,0.9999224272345428,7.757276545731416e-05,0.0,4.344096637562498,4.344096637562498,3.4087398518805605,0.4824233860786107,0.0,177.8141259874764,0.7279781466032632,0.016501936331033,34.77198281252967,4.384458772269403,1.481378421280955,0.1613723085469904,5.986038117872569e-05,0.003567615811791,8.899510814977993e-07,3.325458926906427e-07,0.025721802888343,0.1328257264973703,0.1622340189594957,11.391572376959376,0.0,0.0,0.0,-8.67883657920721,1577.9604590086349,5804.046965562791,0.4841334364819132,0.0067776406741489,0.0443777838775169,0.9504467540986544,0.0049339742963098,0.0018436663778391,0.9999224272345428,7.757276545731416e-05,0.0,140.23268564882972,0.9993962316121572,3.327460274113609,3.327460274113609,2.3280640425014525,1604.4367724751885,0.0
167,167,79.47604770701507,-8.49333901758001,1163.2383855520611,0.499893485705329,326.9819960527448,0.0019883078836456,0.984713708127345,0.0067831806136107,0.0444298142361493,0.9503903645316474,0.0049376144379631,0.0018455661756476,1.009541683966144,1.1165179282256898,0.5057515172235625,0.9999219754009868,7.802459901329013e-05,0.0,4.34778128167744,4.34778128167744,3.411530212614398,0.4830700154433273,0.0,178.01432414557797,0.7279202367183835,0.0164954627934101,34.771285183487834,4.381462884554709,1.480778634572559,0.1613723085469904,5.983676395010476e-05,0.0035676312676839,8.958211024454144e-07,3.348372269396335e-07,0.0257218928821028,0.1328255648609589,0.1622346598820092,11.391572376959376,0.0,0.0,0.0,-8.678909652558772,1577.9888148138668,5804.046625751988,0.4841719166274664,0.0067831806136107,0.0444298142361493,0.9503903645316474,0.0049376144379631,0.0018455661756476,0.9999219754009868,7.802459901329013e-05,0.0,140.10984207388557,0.9993920751264304,3.327347808768309,3.327347808768309,2.327955733641878,1604.455043284058,0.0
168,168,79.38064380352107,-8.493425489397271,1163.2362894490857,0.4998926925875633,326.54399432121994,0.0019883054732665,0.9847214871424244,0.0067887347924862,0.0444819693068129,0.9503338391032842,0.0049412642103823,0.0018474705821039,1.0093043215360271,1.1162708489838762,0.5061803447128962,0.9999215236055672,7.847639443283947e-05,0.0,4.3514755960590845,4.3514755960590845,3.414327754934348,0.4837181960885207,0.0,178.21500324043765,0.7278623132916203,0.0164889909962365,34.77058819854628,4.378468973976696,1.4801791464264786,0.1613723085469904,5.981315290648112e-05,0.0035676467031958,9.017004942174496e-07,3.371333865197997e-07,0.025721982787645,0.1328254033188121,0.1622353002425024,11.39157237695937,0.0,0.0,0.0,-8.678982725910332,1578.0171715035535,5804.046284907159,0.4842104143353938,0.0067887347924862,0.0444819693068129,0.9503338391032842,0.0049412642103823,0.0018474705821039,0.9999215236055672,7.847639443283947e-05,0.0,139.98688535529564,0.999387909841111,3.327235292055525,3.327235292055525,2.3278473822144146,1604.4733175910137,0.0
169,169,79.28523990002705,-8.493511971508207,1163.2341887294504,0.4998918970547484,326.1060602179378,0.0019883030550875,0.9847292870800212,0.0067943032558724,0.0445342495382843,0.9502771773306714,0.0049449236513709,0.0018493796045015,1.0090670591147588,1.1160238461928966,0.5066102972263787,0.9999210718481636,7.892815183638923e-05,0.0,4.355179612444106,4.355179612444106,3.4171325016323038,0.484367930792594,0.0,178.41616500412965,0.7278043774535575,0.0164825209382386,34.76989165941288,4.375477042381309,1.4795799493738726,0.1613723085469904,5.9789548042530736e-05,0.0035676621182752,9.075892967729598e-07,3.39434388284327e-07,0.0257220726048043,0.132825241871076,0.1622359400399517,11.391572376959374,0.0,0.0,0.0,-8.679055799261892,1578.045529079112,5804.045943024448,0.4842489268575231,0.0067943032558724,0.0445342495382843,0.9502771773306714,0.0049449236513709,0.0018493796045015,0.9999210718481636,7.892815183638923e-05,0.0,139.86381554419526,0.9993837357211566,3.327122725357299,3.327122725357299,2.327738989636142,1604.4915953954453,0.0
170,170,79.18983599653305,-8.49359846392914,1163.2320833741917,0.4998910990978499,325.66819373301445,0.0019883006290772,0.9847371159427296,0.0067998860621715,0.0445866553814944,0.950220378715472,0.0049485927898483,0.0018512932723231,1.008829896773901,1.1157769198765366,0.5070413794354193,0.99992062012865,7.937987135014824e-05,0.0,4.358893371155453,4.358893371155453,3.4199444821917258,0.4850192290364918,0.0,178.61781117699488,0.7277464276023567,0.0164760526181651,34.76919584745929,4.372487083602436,1.4789810536518122,0.1613723085469904,5.976594935296733e-05,0.0035676775128677,9.134875486794428e-07,3.417402532474334e-07,0.0257221623334179,0.1328250805178935,0.1622365792733503,11.391572376959376,0.0,0.0,0.0,-8.679128872613452,1578.0738875419477,5804.045600099974,0.4842874581254907,0.0067998860621715,0.0445866553814944,0.950220378715472,0.0049485927898483,0.0018512932723231,0.99992062012865,7.937987135014824e-05,0.0,139.7406324205415,0.9993795527304794,3.3270101073780105,3.3270101073780105,2.327630554647531,1604.5098766967694,0.0
