,P_kbar,P_MPa,T_K,CO2_dens_gcm3
68,0.2634933788069502,26.349337880695018,1513.256991422295,0.08712931177338135
69,0.3117232384215373,31.17232384215373,1564.730518219508,0.09867652330406784
70,0.7600880525850937,76.00880525850937,1577.829959256292,0.215183463980793
71,0.4170296730976581,41.70296730976581,1549.865493542554,0.1300826887082186
72,0.19757396023781376,19.757396023781375,1566.889136626919,0.06404553707826466
73,0.4262672560477814,42.62672560477814,1536.47848868907,0.133797389972969
74,0.1532666791984867,15.326667919848669,1472.218620040383,0.05335379379447147
75,0.1539653026120437,15.396530261204369,1472.218620040383,0.05358893636270068
76,0.4359704537513726,43.59704537513726,1569.09915369467,0.133793789693069
77,0.1972638120268191,19.72638120268191,1569.09915369467,0.06386031977390516
78,0.5852183100756813,58.521831007568125,1460.243797257247,0.185686221627293
79,0.2748312594815724,27.48312594815724,1545.440183166145,0.08879176765828589
80,0.22568649286566825,22.568649286566824,1556.434819037402,0.07319596480807178
81,0.2375056272413163,23.75056272413163,1483.777049253746,0.08054079319361307
82,0.3561665757963005,35.61665757963005,1500.261247661847,0.1162950570594248
83,0.3982549950835099,39.825499508350994,1520.548884624921,0.1270996649962797
84,0.19516357469300377,19.516357469300377,1507.499723095475,0.06576224489500859
85,0.16486500764660408,16.48650076466041,1507.499723095475,0.05591820218618437
86,0.19396641092982414,19.396641092982414,1568.864796523258,0.06284667046432446
87,0.7732058977387344,77.32058977387344,1568.864796523258,0.219377353481832
88,0.4036061810273026,40.360618102730264,1544.553868470057,0.1267074217628732
89,0.2369879930047072,23.698799300470718,1516.205929441225,0.0786767793363552
90,0.2635820177649347,26.358201776493466,1459.335262784172,0.09033194724113258
91,0.40333450336313814,40.33345033631382,1549.803875756168,0.1262143126329391
92,0.2313161154090758,23.131611540907578,1512.745167475295,0.07706369627529597
93,0.17749780749918276,17.749780749918276,1507.024860061061,0.06005798225124437
94,0.12103697373415322,12.103697373415322,1456.692024132139,0.04287545334069875
95,0.23034501090036877,23.034501090036876,1457.753783129805,0.07961866395326922
96,0.44147177524227466,44.147177524227466,1474.346868066461,0.1437017329342396
97,0.39775566927877376,39.77556692787738,1474.346868066461,0.130822506020472
98,0.268027280254222,26.8027280254222,1557.6383559498,0.08605727794868301
99,0.3764486424575151,37.644864245751506,1547.597462264048,0.1186959329538908
100,0.32077545154752984,32.07754515475298,1553.487734011157,0.1020526179094432
101,0.25710710421266875,25.710710421266874,1542.737956257607,0.08353668415934834
102,0.26300105055475437,26.300105055475438,1550.381497587287,0.08492639013937264
103,0.2913547383490369,29.13547383490369,1550.433857074592,0.09348716593851236
104,0.24876035991198223,24.876035991198222,1549.508984160418,0.08062567229503514
105,0.41232479831620256,41.23247983162025,1526.888780342113,0.1306313246332564
106,0.36835479952453976,36.83547995245397,1526.453209176847,0.1179285718992169
107,0.36428216201592306,36.428216201592306,1526.888780342113,0.1167017100319931
108,0.6937387606563391,69.37387606563391,1581.833563434749,0.1989787680345216
109,0.39844750743404284,39.84475074340428,1581.833563434749,0.1223760501987954
110,0.4128037041462717,41.28037041462717,1581.833563434749,0.126370241720501
111,0.39181867219971545,39.181867219971544,1581.833563434749,0.1205220778526765
112,0.42680385520193626,42.680385520193624,1581.833563434749,0.1302377999787367
113,0.4458852001080261,44.58852001080261,1581.833563434749,0.1354654103873596
114,0.40845050682571565,40.84505068257157,1579.235646613298,0.1253612152299652
115,0.3691492748740112,36.91492748740112,1579.235646613298,0.114317778719446
116,0.3763104516851042,37.63104516851042,1578.371070871883,0.1164080376205092
117,0.36934178760544306,36.934178760544306,1531.924022619993,0.1178064686302989
118,0.3408932057516721,34.08932057516721,1531.924022619993,0.1094438006443497
119,0.42665858879540436,42.66585887954044,1531.924022619993,0.1342930180330839
120,0.3820550201469446,38.20550201469446,1531.924022619993,0.1215049546730924
121,0.19517348033842188,19.51734803384219,1568.17395399382,0.06324886975102828
122,0.25890772462711503,25.890772462711503,1568.17395399382,0.08274690316464728
