,P,FMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,mH2O,mH2,mO2,mCO2,mCO,mCH4,mSO2,mH2S,mS2,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N
10,478.0,0.19804904857790717,3.1588517083965105e-09,0.10069430426648193,2651.8774518513414,2654.626778368748,0.11078982942017293,0.006990683826185454,0.041811330412864424,0.07413451592141286,0.000959548960157052,6.0110092702571675e-12,0.8797982209245161,0.028527085870652735,8.837543851728806e-10,0.011661727780447337,0.0035684392977768787,0.0013504603552716651,0.0,0.031942395728641784,4.627536373885328e-05,4.600310048443824e-12,0.9260523265211472,0.019110765432609176,3.390858311404938e-10,0.017868233055582407,0.002908674521808559,0.0020713290327859413,0.0,35.140501840150996,0.4867935658027551,478.56602205686045,15.354909048446755,4.788589956216912e-07,5.793084863586997,2.0742479468630273,0.7039333902977624,0.0,30.84080248903409,11.867592443136154,75.44321368910975,0.30599576366033093,0.49976194110588373,5.096597516536135e-06,0.03360975466179906,0.0,0.0,0.0,0.07992258879129818,0.036335512182351745,0.11625810097364994,0.0,559.5414187786691,109.86737484622272,4733.206679026069,33519.35566864186,1163.542349925901,0.0
11,468.0,0.1978163803984394,3.1515981578387527e-09,0.1006952619084758,2651.3674418028895,2654.495312640136,0.12586502279341563,0.0077704495120556275,0.041774732545192886,0.07570263624947708,0.0009822861071119762,6.13734069144759e-12,0.8779147225449714,0.028492552139912083,8.856599482623513e-10,0.011894523262796901,0.003635031086668779,0.001378247717264532,0.0,0.03264662885147341,4.741339048042595e-05,4.701108190340572e-12,0.9248793619455241,0.019104352944229398,3.4011467828376896e-10,0.018240891394787736,0.0029655500038691207,0.002115801124820016,0.0,35.13651896371628,0.4872981955684538,466.3122686595406,14.978952025174218,4.6864175409863e-07,5.772363124014281,2.0737327975008935,0.7021273219949918,0.0,30.812077424092774,11.596884415647224,73.80831523453062,0.30560544599868483,0.4997296647060512,5.103614046475925e-06,0.03287342967346074,0.0,0.0,0.0,0.07991179695673108,0.03633337008686829,0.11624516704359937,0.0,559.5414187882731,109.86737484622272,4733.189056746316,33519.35566871562,1163.542349937416,0.0
12,458.0,0.1975800436439119,3.144334702376249e-09,0.10069605823921154,2650.8389150488256,2654.3639354851844,0.14164505497480281,0.008551688490003487,0.04173656462340674,0.07733856987734268,0.0010060204769330768,6.269144943932462e-12,0.8759507856875813,0.02845545168798769,8.874899792624241e-10,0.01213726953500938,0.0037046657282934913,0.0014072361130932727,0.0,0.03338262273647974,4.8603417842162504e-05,4.806459684499343e-12,0.9236542693573269,0.019096925070797684,3.411291303149736e-10,0.01863017752066882,0.003025123635961039,0.0021622779149882325,0.0,35.13235107973823,0.48780283370001476,454.1202324959649,14.604156357980743,4.583910082087079e-07,5.751637145110199,2.0732048558424974,0.7003186367099452,0.0,30.783232516999863,11.3261828745582,72.17033313472547,0.30523057246175167,0.49969588735830794,5.110633190920707e-06,0.032138004000640104,0.0,0.0,0.0,0.07990093042256512,0.03633072785647939,0.11623165827904451,0.0,559.5414187966884,109.86737484622272,4733.174402920573,33519.35566878022,1163.5423499474093,0.0
13,448.0,0.197339781771797,3.1370596343104486e-09,0.10069668159626417,2650.290490931582,2654.232655864473,0.15818268723931747,0.009334631216428146,0.041696722023883415,0.07904682697452974,0.0010308187501297807,6.40678477505251e-12,0.8739010703558463,0.028415610748695645,8.892383216653317e-10,0.012390618699017185,0.003777548662923791,0.0014375049132124614,0.0,0.03415258207208771,4.984907270579024e-05,4.916679650321747e-12,0.9223734454184715,0.01908840935208632,3.4212775208432215e-10,0.01903723073855597,0.0030875852207644535,0.0022108977782836583,0.0,35.12798433959799,0.4883074299411114,441.9897452185798,14.23052140423991,4.481067161028028e-07,5.730901953586542,2.0726631391941237,0.6985068503603143,0.0,30.7542596245608,11.05548576462699,70.52925213695451,0.30487167385946784,0.49966049659203804,5.117654258228819e-06,0.03140342424115928,0.0,0.0,0.0,0.07988998260826749,0.03632754894612145,0.11621753155438894,0.0,559.5414188040476,109.86737484622272,4733.162932134705,33519.35566883667,1163.5423499560636,0.0
14,438.0,0.19709531260602198,3.129771078339041e-09,0.10069711915284915,2649.7206488505317,2654.101483631435,0.17553602479087055,0.010119528677010374,0.04165509062524934,0.0808323261483759,0.0010567536811358256,6.550655679738698e-12,0.8717597535558139,0.028372839867586826,8.90898248702259e-10,0.012655281043354592,0.0038539041812672772,0.0014691406250167802,0.0,0.03495892018853569,5.1154326893977875e-05,5.032112949905937e-12,0.9210329469517253,0.01907872651448196,3.431089679623146e-10,0.019463296839254126,0.003153142724256937,0.002261812106710838,0.0,35.123403381184325,0.48881192705220483,429.92064146437986,13.858046603418456,4.3778883548459974e-07,5.710152093265812,2.0721065560315175,0.6966914295850477,0.0,30.725149742649258,10.784791123734466,68.88505680508638,0.30452932400825655,0.4996233676339908,5.124676460611334e-06,0.030669634400803725,0.0,0.0,0.0,0.07987894615680176,0.03632379312971864,0.11620273928652039,0.0,559.5414178175461,109.86737484622273,4733.1548728300895,33519.35566131187,1163.5423488722756,0.0
15,428.0,0.19684632349465936,3.1224669589639794e-09,0.10069735669795471,2649.127709878093,2653.9704293913933,0.19376920883844823,0.010906654955202103,0.04161154567680567,0.08270044280429233,0.0010839048221109046,6.701189652500738e-12,0.8695204722712426,0.028326932101222398,8.92462426138631e-10,0.012932031675091717,0.003933977702998826,0.0015022377238775864,0.0,0.03580428482073349,5.252353998766924e-05,5.153137764165395e-12,0.9196284493164458,0.019067789670949763,3.440710562047082e-10,0.019909740850807513,0.0032220245568361887,0.002315186895015265,0.0,35.118591601728795,0.4893162672791619,417.91275854373214,13.486731491247413,4.274373377260711e-07,5.689381565662934,2.071533931469526,0.6948717909503074,0.0,30.6958928402176,10.514096935719342,67.23773140349007,0.30420414996168227,0.49958436561335595,5.131699000509828e-06,0.029936575651671717,0.0,0.0,0.0,0.07986781329246895,0.03631941603548404,0.11618722932795297,0.0,559.541417983372,109.86737484622272,4733.150502873949,33519.35566258176,1163.5423490629971,0.0
16,418.0,0.1965924697880137,3.1151449922302722e-09,0.1006973785674211,2648.5098161779624,2653.839505006724,0.21295321638501183,0.011696310081601238,0.04156595058202411,0.08465706156798576,0.0011123593087516573,6.85885953067571e-12,0.8671762614695677,0.028277660929821015,8.939227939556995e-10,0.013221718062878049,0.004018038189645827,0.0015368995705683029,0.0,0.03669158642516566,5.396150644361415e-05,5.280169736936117e-12,0.9181552002241372,0.019055503346359633,3.4501211258804235e-10,0.020378061605137943,0.003294482032992598,0.0023712045094710222,0.0,35.11353023633035,0.4898203803298233,405.9659376400467,13.11657570061706,4.1705218641272504e-07,5.66858375475593,2.0709439321559424,0.6930472853318832,0.0,30.666477811644675,10.243401382094538,65.58726009324725,0.30389682872811136,0.49954333808550816,5.1387209093907185e-06,0.029204186158427976,0.0,0.0,0.0,0.07985657501727776,0.036314368590281386,0.11617094360755915,0.0,559.5414181277215,109.8673748462227,4733.150101543966,33519.35566368625,1163.5423492272337,0.0
17,408.0,0.1963333687277995,3.1078026448124244e-09,0.10069716736653958,2647.8649062915583,2653.7087234700753,0.23316679289838083,0.012488823458081218,0.041518155423738955,0.08670863931088026,0.0011422128053824325,7.024183902333379e-12,0.8647194798003915,0.028224777899959128,8.952705114166339e-10,0.013525268672713078,0.0041063811151460195,0.0015732394932328792,0.0,0.037624032177290816,5.547351218441305e-05,5.413666709419143e-12,0.9166079648258176,0.019041762414223586,3.4593004031169787e-10,0.020869908558113028,0.003370792382060852,0.0024300657789661185,0.0,35.10819860756677,0.49032419020777196,394.08002353648664,12.747578979164329,4.06633352912722e-07,5.647751346876877,2.070335090597755,0.6912171954864852,0.0,30.63689226768526,9.972702681910105,63.93362680809021,0.3036080993666728,0.4995001170458617,5.145741138272331e-06,0.028472400787743657,0.0,0.0,0.0,0.07984522147601145,0.036308596395767556,0.116153817871779,0.0,559.5414182527733,109.86737484622273,4733.15398894788,33519.35566464224,1163.5423493679427,0.0
18,398.0,0.19606859463515747,3.100437103033251e-09,0.1006967037517587,2647.1906866926697,2653.5780991381125,0.2544975400994171,0.013284557775160025,0.041467995311706286,0.08886227599235488,0.0011735705687424159,7.1977327759671186e-12,0.8621417259924993,0.02816800989875527,8.964958509965253e-10,0.013843702857451913,0.004199331774777103,0.001611382011725617,0.0,0.03860516457104035,5.706539891848072e-05,5.5541342141176126e-12,0.9149809631466768,0.01902645083598714,3.46822521356651e-10,0.02138710117170444,0.003451262141335393,0.002491992381960934,0.0,35.10257370976414,0.4908276120500705,382.2548651895399,12.37974120081247,3.9618081276680535e-07,5.626876233271598,2.069705773765735,0.6893807247807618,0.0,30.607122373618484,9.701999148285063,62.27681530512033,0.3033387683929267,0.4994545155491888,5.1527585153353094e-06,0.027741150838095245,0.0,0.0,0.0,0.07983374168565813,0.03630203898859078,0.1161357806742489,0.0,559.5414183605678,109.8673748462227,4733.162521064781,33519.35566546555,1163.542349487849,0.0
19,388.0,0.19579767278266935,3.0930452330508566e-09,0.10069596615268803,2646.484598347375,2653.447647923186,0.2770431915832097,0.01408391360134559,0.04141528846771613,0.091125796665746,0.0012065486807224669,7.380134104949015e-12,0.8594337421255214,0.028107056015973887,8.975880852526717e-10,0.014178142229357527,0.004297249127020257,0.0016514642506903258,0.0,0.039638906377198795,5.874363912025517e-05,5.702131843933174e-12,0.9132677973149204,0.019009440205317623,3.476869868693699e-10,0.021931651372201676,0.00353623111770054,0.0025572296201516946,0.0,35.09662987327335,0.4913305507994297,370.490316208725,12.013062381159457,3.856945461481232e-07,5.605949396995812,2.0690541590899962,0.6875369858001688,0.0,30.577152642279056,9.431289202090245,60.616809185759315,0.3030897177856131,0.49940632497490633,5.159771727407984e-06,0.027010363728346275,0.0,0.0,0.0,0.07982212336659349,0.03629462897771673,0.11611675234431021,0.0,559.5414184528775,109.8673748462227,4733.176094862709,33519.35566616986,1163.5423495893274,0.0
20,378.0,0.1955200721896908,3.085623534086754e-09,0.10069493044530445,2645.7437773378933,2653.3173875185867,0.3009131148179125,0.014887334766665785,0.0413598340094997,0.0935078463433387,0.0012412754761307757,7.572081329327896e-12,0.8565853017665614,0.028041583915018382,8.985353559381546e-10,0.014529823778440925,0.004400530242752665,0.0016936375716497156,0.0,0.04072961302710508,6.051542347813141e-05,5.858280668758138e-12,0.9114613668284278,0.018990588053077087,3.4852058265821387e-10,0.02250578965968494,0.003626077007590935,0.0026260496462570324,0.0,35.09033836914487,0.49183289963145105,358.7862354204688,11.647542695517627,3.751745383981453e-07,5.5849607800114605,2.068378206167562,0.685684986945164,0.0,30.546965690757414,9.160571388002914,58.95359192432508,0.30286191421551084,0.4993553118062026,5.16677929820201e-06,0.02627996265068936,0.0,0.0,0.0,0.07981035274258264,0.036286291030753905,0.11609664377333655,0.0,559.541418531404,109.8673748462227,4733.195154317648,33519.35566676842,1163.54234967462,0.0
21,368.0,0.19523519711401427,3.0781680832354773e-09,0.10069356956608475,2644.9650082863723,2653.1873376644708,0.32623008771366874,0.015695314706795294,0.041301409376757435,0.09601800013158561,0.0012778932024359881,7.774342124547149e-12,0.8535850801408821,0.02797122562091007,8.993245220202838e-10,0.014900115056096716,0.004509615476379671,0.0017380694646110034,0.0,0.04188213389114996,6.238876329585985e-05,6.023271905945068e-12,0.9095537695040623,0.01896973586584574,3.4932012883389635e-10,0.023111995579210204,0.0037212208061628304,0.0026987552349298184,0.0,35.083666941421185,0.49233453808163025,347.1424875340487,11.283182500167063,3.646207806530903e-07,5.563899126321154,2.0676756232568865,0.6838236165872728,0.0,30.51654195312697,8.889844393458585,57.28714690640047,0.3026564197257296,0.49930121381860865,5.173779562400427e-06,0.025549866182872534,0.0,0.0,0.0,0.07979841430265572,0.03627694067754746,0.11607535498020319,0.0,559.5414185976421,109.86737484622273,4733.220197517935,33519.35566727276,1163.5423497456763,0.0
22,358.0,0.19494237695698402,3.0706744700392273e-09,0.10069185305425699,2644.14466899805,2653.0575204633637,0.35313241002457485,0.01650840397543822,0.041239767330120046,0.0986668915780758,0.001316559956658174,7.987768588030786e-12,0.8504205028850302,0.02789557261317872,8.999409825360942e-10,0.015290531811825978,0.0046249944988484915,0.0017849457484538723,0.0,0.04310188426331026,6.437261091593591e-05,6.197877098787588e-12,0.9075361852098451,0.018946706759951134,3.5008207240274137e-10,0.023753033426331064,0.003822133167099437,0.0027756842062671653,0.0,35.07657925121147,0.4928353298042866,335.55894393185474,10.919982357516837,3.540332705815198e-07,5.542751795962446,2.066943827411256,0.6819516242526368,0.0,30.485859339674054,8.619107071109934,55.617457479621436,0.3024744041454095,0.49924373554862295,5.180770634662005e-06,0.02481998785376286,0.0,0.0,0.0,0.07978629051617067,0.036266482891564276,0.11605277340773494,0.0,559.5414186529518,109.86737484622272,4733.251785094444,33519.35566769343,1163.5423498042849,0.0
23,348.0,0.19464085422656296,3.0631377185469402e-09,0.10068974650608432,2643.2786643345844,2652.9279607563703,0.3817764254216395,0.017327219185738527,0.04117463243817005,0.10146636283591316,0.0013574519549064024,8.213309146355121e-12,0.8470775691539033,0.027814170086350305,9.003684692925641e-10,0.015702758555818926,0.004747213364227904,0.001834473140298194,0.0,0.04439493029635434,6.647700197405622e-05,6.3829601176658065e-12,0.9053987387904304,0.018921302739146096,3.5080243133478014e-10,0.024431994264403005,0.003929341913218011,0.0028572146372887386,0.0,35.06903421251483,0.49333511987605927,324.03548361202996,10.55794306605276,3.4341201325732795e-07,5.521504543356646,2.0661798967969838,0.6800675981624832,0.0,30.454892830672783,8.348358465590799,53.94450702039256,0.30231715958396005,0.4991825428786479,5.187750372337296e-06,0.024090235655268362,0.0,0.0,0.0,0.07977396148998382,0.036254810399474965,0.11602877188945879,0.0,559.5414186985928,109.8673748462227,4733.290550271032,33519.355668040174,1163.5423498520545,0.0
24,338.0,0.194329770109114,3.0555521939795034e-09,0.1006872109208521,2642.3623467972157,2652.7986865742423,0.4123395503212557,0.01815245371042433,0.041105696947850705,0.10442964108880873,0.0014007662031271905,8.452022530879633e-12,0.8435406438741854,0.027726510208900327,9.005888032582991e-10,0.01613867262655909,0.004876882821603367,0.0018868822677751203,0.0,0.045768089685990915,6.871322424161821e-05,6.5794913757143434e-12,0.9031303377164136,0.018893301446453792,3.514767282647105e-10,0.02515234559153767,0.004043440947564722,0.0029437710297415473,0.0,35.06098519443556,0.493833731532719,312.5719943190202,10.197065696183095,3.3275702219948724e-07,5.500141251799637,2.065380513353804,0.6781699382824534,0.0,30.423613989596326,8.077597845585087,52.26827902103842,0.3021861174367946,0.4991172565309178,5.1947163303625896e-06,0.02336051149239679,0.0,0.0,0.0,0.07976140455361189,0.036241801656336906,0.11600320620994879,0.0,559.5414187356997,109.86737484622273,4733.337210909573,33519.35566832177,1163.5423498904404,0.0
25,328.0,0.19400814707828395,3.047911490343726e-09,0.10068420191270257,2641.3904206035318,2652.6697296813136,0.4450239320793808,0.018984890560556335,0.041032615908446875,0.10757154674260382,0.0014467236542544631,8.705094252198846e-12,0.8397922126958546,0.027632024171197304,9.005816070185033e-10,0.01660037247647353,0.005014688134880471,0.0019424312154490467,0.0,0.04722905161408825,7.109401903470106e-05,6.788564750021661e-12,0.9007184788584235,0.018862452298058944,3.5209991151502965e-10,0.025917990328259307,0.004165100878374734,0.003035831644872149,0.0,35.0523790574465,0.49433096219615497,301.16837390728864,9.837351633394366,3.2206832061846573e-07,5.478643613653144,2.0645418934425623,0.6762568237995761,0.0,30.39199037655829,7.806824742469321,50.588757203251284,0.3020828684408988,0.4990474442058762,5.201665706358877e-06,0.02263071056172997,0.0,0.0,0.0,0.07974859375416497,0.03622731840679369,0.11597591216095865,0.0,559.5414187653481,109.86737484622273,4733.392584027526,33519.35566854651,1163.5423499207755,0.0
26,318.0,0.19367486780762988,3.0402082943089172e-09,0.10068066875515089,2640.3568251222728,2652.541126235481,0.4800608942027227,0.0198254179816505,0.04095500138720225,0.11090874024476714,0.0014955729582486316,8.973856108830086e-12,0.8358125916115043,0.027530072761537766,9.003239637811544e-10,0.017090211057997386,0.005161400738013592,0.0020014097186333625,0.0,0.048786520382858696,7.363382275344979e-05,7.011417827590711e-12,0.8981490173266308,0.018828471857869622,3.52666260523495e-10,0.02673333722604779,0.004295081753778674,0.0031339372703834134,0.0,35.04315498206157,0.4948265786053036,289.8245319964331,9.478802630538265,3.113459429205036e-07,5.456990742855145,2.0636597034454236,0.6743261736383768,0.0,30.359984837352744,7.536038997169471,48.90592566558064,0.30200918645754865,0.49897261102430196,5.208595273369948e-06,0.02190072064679126,0.0,0.0,0.0,0.07973549923743438,0.036211202730312496,0.11594670196774688,0.0,559.5414187885352,109.86737484622273,4733.457603397769,33519.355668722106,1163.5423499442834,0.0
